car_id,problem_category
76554,FUEL/PROBULSION SYSTEM
89519,LANE DEPARTURE
85249,LANE DEPARTURE
70808,LANE DEPARTURE
121237,FUEL/PROULSION SYSTEM
37078,LANE DEPARTURE
278273,LANE DEPARTURE
196101,LANE DEPARTURE
248875,FUEL/PROPUISION SYSTEM
214603,FUEL/PROLULSION SYSTEM
56439,FUEL/PROULSION SYSTEM
46248,EXHAUST SYSTEM
198917,LANE DEPARTURE
183095,FUEL/PROBULSION SYSTEM
85293,FUEL/PROLUSION SYSTEM
102982,LANE DEPARTURE
150367,FUEL/PROPOLSION SYSTEM
41466,LANE DEPARTURE
87923,LANE DEPARTURE
68571,FUEL/PROULSION SYSTEM
90554,LANE DEPARTURE
189736,LANE DEPARTURE
282076,LANE DEPARTURE
279775,LANE DEPARTURE
215842,LANE DEPARTURE
166123,"ENGINE, SEAT BELTS"
50910,UNKNOWN
257056,LANE DEPARTURE
32890,LANE DEPARTURE
295595,"1. POWER TRAIN
2. ENGINE AND ENGINE COOLING
3. STRUCTURE"
66593,LANE DEPARTURE
206891,LANE DEPARTURE
88008,LANE DEPARTURE
67129,LANE DEPARTURE
177168,LANE DEPARTURE
292394,LANE DEPARTURE
184755,LANE DEPARTURE
85884,FUEL/PROPUISION SYSTEM
63788,FUEL/PROPOLSION SYSTEM
111798,LANE DEPARTURE
273773,"POWER TRAIN, AIR BAGS"
181156,LANE DEPARTURE
112696,FUEL/PROBULSION SYSTEM
171696,"AIR BAGS, POWER TRAIN"
7921,UNKNOWN
146080,LANE DEPARTURE
176383,LANE DEPARTURE
173292,FUEL/PROPUISION SYSTEM
129790,LANE DEPARTURE
128932,"STEERING, POWER TRAIN"
218724,FUEL/PROULSION SYSTEM
189472,LANE DEPARTURE
90193,UNKNOWN
173721,FUEL/PROPUISION SYSTEM
299766,FUEL/PROBULSION SYSTEM
26177,LANE DEPARTURE
3821,LANE DEPARTURE
177089,UNKNOWN
177769,LANE DEPARTURE
49576,LANE DEPARTURE
222080,LANE DEPARTURE
252672,LANE DEPARTURE
149770,"1) POWER TRAIN
2) LATCHES/LOCKS/LINKAGES"
277960,LANE DEPARTURE
88164,LANE DEPARTURE
214807,LANE DEPARTURE
30728,LANE DEPARTURE
71494,LANE DEPARTURE
273624,LANE DEPARTURE
98175,LANE DEPARTURE
290930,LANE DEPARTURE
4556,LANE DEPARTURE
1512,FUEL/PROULSION SYSTEM
104215,"SERVICE BRAKES, POWER TRAIN"
254679,LANE DEPARTURE
129325,LANE DEPARTURE
68453,"ENGINE, STEERING"
92152,LANE DEPARTURE
130955,ELECTRONIC STABILITY CONTROL
19598,LANE DEPARTURE
67475,LANE DEPARTURE
91545,LANE DEPARTURE
243798,LANE DEPARTURE
265211,LANE DEPARTURE
291728,LANE DEPARTURE
196462,LANE DEPARTURE
276249,LANE DEPARTURE
8676,LANE DEPARTURE
268359,LANE DEPARTURE
184808,LANE DEPARTURE
221181,LANE DEPARTURE
24094,FUEL/PROPOLSION SYSTEM
278237,LANE DEPARTURE
202823,LANE DEPARTURE
126303,LANE DEPARTURE
31981,LANE DEPARTURE
200478,FUEL/PROPLUSION SYSTEM
49404,LANE DEPARTURE
264969,LANE DEPARTURE
70260,LANE DEPARTURE
99719,FUEL/PROPUISION SYSTEM
144202,LANE DEPARTURE
106481,LANE DEPARTURE
99225,LANE DEPARTURE
30361,UNKNOWN
115905,FUEL/PROLUSION SYSTEM
254575,LANE DEPARTURE
112148,LANE DEPARTURE
126759,LANE DEPARTURE
224583,LANE DEPARTURE
52579,"EXTERIOR LIGHTING, LATCHES/LOCKS/LINKAGES, ENGINE"
212301,FUEL/PROULSION SYSTEM
133454,"POWER TRAIN, FUEL/PROPULSION SYSTEM"
9364,LANE DEPARTURE
58827,LANE DEPARTURE
125782,FUEL/PROPOLSION SYSTEM
29099,LANE DEPARTURE
197783,LANE DEPARTURE
262610,LANE DEPARTURE
13967,LANE DEPARTURE
283282,LANE DEPARTURE
229917,LANE DEPARTURE
274343,"LATCHES/LOCKS/LINKAGES, ENGINE"
148357,FUEL/PROPUISION SYSTEM
257596,FUEL/PROULSION SYSTEM
255219,FUEL/PROPUISION SYSTEM
63206,LANE DEPARTURE
68726,FUEL/PROPUISION SYSTEM
132941,LANE DEPARTURE
145720,LANE DEPARTURE
85847,LANE DEPARTURE
200720,LANE DEPARTURE
162017,FUEL/PROPOLSION SYSTEM
238584,LANE DEPARTURE
250431,FUEL/PROULSION SYSTEM
57478,LANE DEPARTURE
8736,LANE DEPARTURE
120823,LANE DEPARTURE
62180,LANE DEPARTURE
294519,FUEL/PROPUISION SYSTEM
241993,LANE DEPARTURE
166176,LANE DEPARTURE
60775,LANE DEPARTURE
283683,LANE DEPARTURE
219156,LANE DEPARTURE
204768,LANE DEPARTURE
264353,LANE DEPARTURE
36667,FUEL/PROLUSION SYSTEM
144061,LANE DEPARTURE
171231,LANE DEPARTURE
154145,LANE DEPARTURE
295198,LANE DEPARTURE
265772,LANE DEPARTURE
180577,LANE DEPARTURE
142582,LANE DEPARTURE
295425,FUEL/PROPUISION SYSTEM
91561,LANE DEPARTURE
64949,LANE DEPARTURE
62720,LANE DEPARTURE
6946,EXHAUST SYSTEM
288075,LANE DEPARTURE
268675,ELECTRONIC STABILITY CONTROL
4633,LANE DEPARTURE
230816,LANE DEPARTURE
131030,FUEL/PROPUISION SYSTEM
184588,LANE DEPARTURE
42459,"#1: STEERING
#2: FORWARD COLLISION AVOIDANCE"
144943,LANE DEPARTURE
22194,LANE DEPARTURE
289241,LANE DEPARTURE
115955,LANE DEPARTURE
289151,LANE DEPARTURE
189846,FUEL/PROULSION SYSTEM
234365,LANE DEPARTURE
120891,LANE DEPARTURE
154148,FUEL/PROPLUSION SYSTEM
219668,LANE DEPARTURE
266182,"ENGINE, FORWARD COLLISION AVOIDANCE"
54627,LANE DEPARTURE
61721,LANE DEPARTURE
250686,LANE DEPARTURE
8323,LANE DEPARTURE
73074,LANE DEPARTURE
41346,LANE DEPARTURE
114617,FUEL/PROULSION SYSTEM
229297,LANE DEPARTURE
79175,LANE DEPARTURE
54426,LANE DEPARTURE
113649,LANE DEPARTURE
100349,LANE DEPARTURE
131668,LANE DEPARTURE
149920,ELECTRONIC SYSTEM
292087,LANE DEPARTURE
206665,LANE DEPARTURE
190722,LANE DEPARTURE
44278,FUEL/PROPUISION SYSTEM
202487,LANE DEPARTURE
176632,LANE DEPARTURE
161571,LANE DEPARTURE
62333,LANE DEPARTURE
26934,FUEL/PROPLUSION SYSTEM
64983,LANE DEPARTURE
138586,"ENGINE, VISIBILITY/WIPER"
74367,LANE DEPARTURE
6394,FUEL/PROPUISION SYSTEM
110339,"ENGINE
"
281279,LANE DEPARTURE
222146,FUEL/PROPLULSION SYSTEM
243063,LANE DEPARTURE
274840,EXHAUST SYSTEM
8518,FUEL/PROPUISION SYSTEM
26195,FUEL/PROPUISION SYSTEM
73361,LANE DEPARTURE
64412,LANE DEPARTURE
291266,LANE DEPARTURE
194006,"ENGINE, SERVICE BRAKES"
120105,FUEL/PROPLUSION SYSTEM
83698,LANE DEPARTURE
42342,LANE DEPARTURE
30668,LANE DEPARTURE
249768,FUEL/PROULSION SYSTEM
163002,LANE DEPARTURE
39023,LANE DEPARTURE
16737,FUEL/PROULSION SYSTEM
124108,LANE DEPARTURE
196996,LANE DEPARTURE
154593,LANE DEPARTURE
230480,LANE DEPARTURE
80174,LANE DEPARTURE
173874,FUEL/PROPUSTION SYSTEM
253404,LANE DEPARTURE
152684,LANE DEPARTURE
283087,FUEL/PROPOLSION SYSTEM
225004,LANE DEPARTURE
241995,FUEL/PROULSION SYSTEM
212730,FUEL/PROPUISION SYSTEM
197229,LANE DEPARTURE
13916,LANE DEPARTURE
270141,LANE DEPARTURE
289352,LANE DEPARTURE
51616,FUEL/PROPLUSION SYSTEM
263633,LANE DEPARTURE
40735,"ENGINE, VISIBILITY/WIPER"
170703,FUEL/PROulsion SYSTEM
149236,LANE DEPARTURE
13538,LANE DEPARTURE
186183,LANE DEPARTURE
246218,LANE DEPARTURE
81547,LANE DEPARTURE
3342,LANE DEPARTURE
229370,LANE DEPARTURE
189297,LANE DEPARTURE
236148,LANE DEPARTURE
271818,FUEL/PROPUISION SYSTEM
136802,LANE DEPARTURE
15977,LANE DEPARTURE
27273,LANE DEPARTURE
187843,LANE DEPARTURE
273374,LANE DEPARTURE
274346,LANE DEPARTURE
91512,LANE DEPARTURE
45840,LANE DEPARTURE
89138,LANE DEPARTURE
153901,ELECTRONIC STABILITY CONTROL
197612,LANE DEPARTURE
81573,LANE DEPARTURE
107590,FUEL/PROBULSION SYSTEM
215546,LANE DEPARTURE
250403,LANE DEPARTURE
148968,FUEL/PROPLULSION SYSTEM
140789,LANE DEPARTURE
142691,LANE DEPARTURE
250526,FUEL/PROBULSION SYSTEM
66536,FUEL/PROPUISION SYSTEM
66979,LANE DEPARTURE
13178,LANE DEPARTURE
202731,"ENGINE, SEAT BELTS"
140731,LANE DEPARTURE
53858,UNKNOWN
288872,LANE DEPARTURE
199472,LANE DEPARTURE
196329,LANE DEPARTURE
95142,LANE DEPARTURE
167678,LANE DEPARTURE
88871,LANE DEPARTURE
241728,FUEL/PROPUISION SYSTEM
240124,FUEL/PROPUSTION SYSTEM
184544,ELECTRONIC STABILITY CONTROL
89779,LANE DEPARTURE
151165,None of the above.
222784,LANE DEPARTURE
252078,LANE DEPARTURE
152798,LANE DEPARTURE
233939,ELECTRONIC SYSTEM
152912,LANE DEPARTURE
108780,PARK BRAKE
261937,FUEL/PROPUISION SYSTEM
111439,LANE DEPARTURE
221011,LANE DEPARTURE
107727,LANE DEPARTURE
129215,LANE DEPARTURE
253415,FUEL/PROBULSION SYSTEM
261441,FUEL/PROLUSION SYSTEM
137452,LANE DEPARTURE
165658,LANE DEPARTURE
179208,LANE DEPARTURE
17752,LANE DEPARTURE
206858,FUEL/PROPLUSION SYSTEM
214037,"ENGINE
"
19759,LANE DEPARTURE
79928,FUEL/PROPUSTION SYSTEM
259497,LANE DEPARTURE
84584,LANE DEPARTURE
195677,LANE DEPARTURE
114874,LANE DEPARTURE
89503,LANE DEPARTURE
181408,LANE DEPARTURE
201207,LANE DEPARTURE
200414,LANE DEPARTURE
83358,FUEL/PROPUISION SYSTEM
65101,"LATCHES/LOCKS/LINKAGES, ENGINE"
123661,LANE DEPARTURE
177639,LANE DEPARTURE
181136,LANE DEPARTURE
266191,LANE DEPARTURE
43894,LANE DEPARTURE
256650,AIR BAGS
221304,AIR BAGS
174694,AIR BAGS
228663,AIR BAGS
179459,AIR BAGS
249181,AIR BAGS
130391,AIR BAGS
114684,AIR BAGS
5957,AIR BAGS
75823,AIR BAGS
265756,AIR BAGS
287621,AIR BAGS
116365,AIR BAGS
103202,AIR BAGS
244952,AIR BAGS
79066,AIR BAGS
228092,AIR BAGS
199542,AIR BAGS
129063,AIR BAGS
187626,AIR BAGS
36197,AIR BAGS
164514,AIR BAGS
218019,AIR BAGS
39033,AIR BAGS
185221,AIR BAGS
77613,AIR BAGS
110200,AIR BAGS
148740,AIR BAGS
245950,AIR BAGS
238034,AIR BAGS
938,AIR BAGS
200997,AIR BAGS
171112,AIR BAGS
59213,AIR BAGS
217416,AIR BAGS
62334,AIR BAGS
280465,AIR BAGS
225377,AIR BAGS
246571,AIR BAGS
192156,AIR BAGS
39162,AIR BAGS
98514,AIR BAGS
219317,AIR BAGS
126169,AIR BAGS
134982,AIR BAGS
117959,AIR BAGS
280743,AIR BAGS
204079,AIR BAGS
279396,AIR BAGS
234954,AIR BAGS
32281,AIR BAGS
85973,AIR BAGS
224825,AIR BAGS
47009,AIR BAGS
147680,AIR BAGS
223606,AIR BAGS
33941,AIR BAGS
257418,AIR BAGS
223520,AIR BAGS
11767,AIR BAGS
194070,AIR BAGS
220191,AIR BAGS
61372,AIR BAGS
70007,AIR BAGS
6544,AIR BAGS
73869,AIR BAGS
290706,AIR BAGS
160513,AIR BAGS
119799,AIR BAGS
295515,AIR BAGS
12524,AIR BAGS
8326,AIR BAGS
286083,AIR BAGS
159597,AIR BAGS
179927,AIR BAGS
35332,AIR BAGS
210395,AIR BAGS
41959,AIR BAGS
135255,AIR BAGS
255730,AIR BAGS
265502,AIR BAGS
206545,AIR BAGS
45328,AIR BAGS
257450,AIR BAGS
112970,AIR BAGS
268885,AIR BAGS
218036,AIR BAGS
214438,AIR BAGS
290238,AIR BAGS
263983,AIR BAGS
277968,AIR BAGS
173276,AIR BAGS
133024,AIR BAGS
52308,AIR BAGS
28947,AIR BAGS
209665,AIR BAGS
82827,AIR BAGS
243060,AIR BAGS
119657,AIR BAGS
196092,AIR BAGS
216083,AIR BAGS
149848,AIR BAGS
107514,AIR BAGS
103899,AIR BAGS
102318,AIR BAGS
253746,AIR BAGS
63035,AIR BAGS
92258,AIR BAGS
128026,AIR BAGS
272793,AIR BAGS
272786,AIR BAGS
34837,AIR BAGS
134313,AIR BAGS
120910,AIR BAGS
251855,AIR BAGS
206967,AIR BAGS
118730,AIR BAGS
21718,AIR BAGS
29382,AIR BAGS
33848,AIR BAGS
51707,AIR BAGS
107218,AIR BAGS
205376,AIR BAGS
262384,AIR BAGS
8430,AIR BAGS
66747,AIR BAGS
187506,AIR BAGS
84905,AIR BAGS
60606,AIR BAGS
299932,AIR BAGS
259345,AIR BAGS
90334,AIR BAGS
83909,AIR BAGS
298185,AIR BAGS
106509,AIR BAGS
225096,AIR BAGS
120458,AIR BAGS
176714,AIR BAGS
181803,AIR BAGS
131608,AIR BAGS
9917,AIR BAGS
20604,AIR BAGS
252941,AIR BAGS
98767,AIR BAGS
62558,AIR BAGS
217036,AIR BAGS
296530,AIR BAGS
210040,AIR BAGS
96349,AIR BAGS
222656,AIR BAGS
42015,AIR BAGS
4695,AIR BAGS
292973,AIR BAGS
39757,AIR BAGS
261893,AIR BAGS
152119,AIR BAGS
47335,AIR BAGS
137667,AIR BAGS
75475,AIR BAGS
91354,AIR BAGS
182852,AIR BAGS
276269,AIR BAGS
168337,AIR BAGS
175937,AIR BAGS
139421,AIR BAGS
168628,AIR BAGS
105027,AIR BAGS
15579,AIR BAGS
32647,AIR BAGS
61767,AIR BAGS
274688,AIR BAGS
133275,AIR BAGS
108828,AIR BAGS
81161,AIR BAGS
149326,AIR BAGS
187411,AIR BAGS
8894,AIR BAGS
282908,AIR BAGS
240917,AIR BAGS
119201,AIR BAGS
140700,AIR BAGS
94636,AIR BAGS
7770,AIR BAGS
29045,AIR BAGS
127269,AIR BAGS
82097,AIR BAGS
123796,AIR BAGS
109009,AIR BAGS
241571,AIR BAGS
121532,AIR BAGS
6260,AIR BAGS
87302,AIR BAGS
246625,AIR BAGS
275257,AIR BAGS
261419,AIR BAGS
22533,AIR BAGS
75640,AIR BAGS
54747,AIR BAGS
228153,AIR BAGS
299119,AIR BAGS
194631,AIR BAGS
27993,AIR BAGS
197562,AIR BAGS
256511,AIR BAGS
93766,AIR BAGS
97084,AIR BAGS
26303,AIR BAGS
171421,AIR BAGS
294545,AIR BAGS
86837,AIR BAGS
129656,AIR BAGS
288803,AIR BAGS
285113,AIR BAGS
277172,AIR BAGS
38766,AIR BAGS
21944,AIR BAGS
205462,AIR BAGS
138590,AIR BAGS
244435,AIR BAGS
56465,AIR BAGS
89570,AIR BAGS
68992,AIR BAGS
245532,AIR BAGS
175770,AIR BAGS
173125,AIR BAGS
169696,AIR BAGS
30790,AIR BAGS
292653,AIR BAGS
257112,AIR BAGS
103897,AIR BAGS
55336,AIR BAGS
99944,AIR BAGS
108333,AIR BAGS
158041,AIR BAGS
130090,AIR BAGS
115397,AIR BAGS
34098,AIR BAGS
140468,AIR BAGS
268216,AIR BAGS
100867,AIR BAGS
136353,AIR BAGS
181547,AIR BAGS
134301,AIR BAGS
138334,AIR BAGS
117366,AIR BAGS
122274,AIR BAGS
288556,AIR BAGS
86273,AIR BAGS
14218,AIR BAGS
43072,AIR BAGS
80953,AIR BAGS
218568,AIR BAGS
286237,AIR BAGS
33688,AIR BAGS
14059,AIR BAGS
205640,AIR BAGS
97453,AIR BAGS
54229,AIR BAGS
210840,AIR BAGS
284949,AIR BAGS
208988,AIR BAGS
113499,AIR BAGS
147351,AIR BAGS
265807,AIR BAGS
49646,AIR BAGS
129165,AIR BAGS
293348,AIR BAGS
106028,AIR BAGS
299413,AIR BAGS
93420,AIR BAGS
189358,AIR BAGS
181385,AIR BAGS
273568,AIR BAGS
177588,AIR BAGS
14188,AIR BAGS
158919,AIR BAGS
288551,AIR BAGS
199041,AIR BAGS
179264,AIR BAGS
273350,AIR BAGS
113296,AIR BAGS
189454,AIR BAGS
149100,AIR BAGS
103243,AIR BAGS
127862,AIR BAGS
133564,AIR BAGS
55433,AIR BAGS
34975,AIR BAGS
81928,AIR BAGS
278680,AIR BAGS
229768,AIR BAGS
145420,AIR BAGS
202202,AIR BAGS
171172,AIR BAGS
192238,AIR BAGS
144197,AIR BAGS
161945,AIR BAGS
169793,AIR BAGS
123323,AIR BAGS
249107,AIR BAGS
164825,AIR BAGS
283708,AIR BAGS
53345,AIR BAGS
174952,AIR BAGS
255185,AIR BAGS
106320,AIR BAGS
126575,AIR BAGS
103109,AIR BAGS
198361,AIR BAGS
157662,AIR BAGS
196614,AIR BAGS
98471,AIR BAGS
145257,AIR BAGS
232746,AIR BAGS
97024,AIR BAGS
138128,AIR BAGS
289869,AIR BAGS
27986,AIR BAGS
258646,AIR BAGS
137241,AIR BAGS
159447,AIR BAGS
94730,AIR BAGS
220600,AIR BAGS
126878,AIR BAGS
85807,AIR BAGS
114519,AIR BAGS
123049,AIR BAGS
109749,AIR BAGS
264752,AIR BAGS
85568,AIR BAGS
71958,AIR BAGS
14546,AIR BAGS
28386,AIR BAGS
217,AIR BAGS
171623,AIR BAGS
120586,AIR BAGS
29160,AIR BAGS
208076,AIR BAGS
183453,AIR BAGS
283673,AIR BAGS
292422,AIR BAGS
1240,AIR BAGS
54988,AIR BAGS
75829,AIR BAGS
161721,AIR BAGS
200455,AIR BAGS
49734,AIR BAGS
276079,AIR BAGS
138815,AIR BAGS
53128,AIR BAGS
290891,AIR BAGS
35695,AIR BAGS
248445,AIR BAGS
178962,AIR BAGS
270896,AIR BAGS
106806,AIR BAGS
40069,AIR BAGS
90476,AIR BAGS
38954,AIR BAGS
243856,AIR BAGS
118377,AIR BAGS
272946,AIR BAGS
33084,AIR BAGS
218645,AIR BAGS
286276,AIR BAGS
4226,AIR BAGS
155524,AIR BAGS
110951,AIR BAGS
176024,AIR BAGS
194040,AIR BAGS
180488,AIR BAGS
204404,AIR BAGS
126010,AIR BAGS
117828,AIR BAGS
174635,AIR BAGS
240455,AIR BAGS
147973,AIR BAGS
299555,AIR BAGS
144963,AIR BAGS
104216,AIR BAGS
131159,AIR BAGS
24412,AIR BAGS
33494,AIR BAGS
175160,AIR BAGS
151874,AIR BAGS
117944,AIR BAGS
70986,AIR BAGS
37500,AIR BAGS
267084,AIR BAGS
271260,AIR BAGS
275768,AIR BAGS
201363,AIR BAGS
237076,AIR BAGS
161542,AIR BAGS
125674,AIR BAGS
159797,AIR BAGS
77247,AIR BAGS
208357,AIR BAGS
40321,AIR BAGS
17417,AIR BAGS
278966,AIR BAGS
234126,AIR BAGS
116787,AIR BAGS
80320,AIR BAGS
67909,AIR BAGS
228297,AIR BAGS
55093,AIR BAGS
64114,AIR BAGS
76652,AIR BAGS
11962,AIR BAGS
238778,AIR BAGS
248380,AIR BAGS
